.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,2,2,1,['k'],['d'],N,,,,,,,,,,F,20,
0,1,1,12,12,1,['d'],['k'],N,,,,,,,,,,F,20,
0,2,2,10,10,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,20,
0,3,3,14,14,1,['d'],['k'],N,Y,None,N,,,,,,,F,20,
0,4,4,10,10,1,['d'],['k'],N,Y,None,N,,,,,,,F,20,
0,5,5,4,4,1,['k'],['d'],N,N,['k'],N,,,,,,,F,20,
0,6,6,1,1,1,['d'],['d'],Y,N,None,Y,,,,,,,F,20,
0,7,7,5,5,1,['d'],['k'],N,N,None,Y,,,,,,,F,20,
0,8,8,8,8,1,['k'],['k'],Y,Y,None,N,,,,,,,F,20,
0,9,9,5,5,1,['d'],['d'],Y,N,None,Y,,,,,,,F,20,
0,10,10,12,12,1,['k'],['d'],N,Y,None,N,,,,,,,F,20,
0,11,11,7,7,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,20,
0,12,12,3,3,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,20,
0,13,13,11,11,1,['k'],['k'],Y,N,['space'],N,,,,,,,F,20,
0,14,14,2,2,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,20,
1,0,15,8,8,1,['d'],['d'],Y,N,['space'],N,,,,,,,F,20,
1,1,16,6,6,1,['k'],['d'],N,Y,None,N,,,,,,,F,20,
1,2,17,9,9,1,['d'],['k'],N,Y,['space'],Y,,,,,,,F,20,
1,3,18,8,8,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,20,
1,4,19,10,10,1,['d'],['d'],Y,N,['space'],N,,,,,,,F,20,
1,5,20,11,11,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,20,
1,6,21,14,14,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,20,
1,7,22,10,10,1,['k'],['k'],Y,N,['space'],N,,,,,,,F,20,
1,8,23,1,1,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,20,
1,9,24,10,10,1,['k'],['k'],Y,N,None,Y,,,,,,,F,20,
1,10,25,11,11,1,['k'],['d'],N,N,None,Y,,,,,,,F,20,
1,11,26,14,14,1,['k'],['d'],N,N,['k'],N,,,,,,,F,20,
1,12,27,6,6,1,['k'],['d'],N,N,['space'],N,,,,,,,F,20,
1,13,28,12,12,1,['d'],['k'],N,Y,['space'],Y,,,,,,,F,20,
1,14,29,8,8,1,['d'],['k'],N,Y,['space'],Y,,,,,,,F,20,
2,0,30,4,4,1,['d'],['k'],N,N,['space'],N,,,,,,,F,20,
2,1,31,2,2,1,['k'],['k'],Y,N,['space'],N,,,,,,,F,20,
2,2,32,8,8,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,20,
2,3,33,12,12,1,['d'],['d'],Y,N,['space'],N,,,,,,,F,20,
2,4,34,4,4,1,['d'],['k'],N,Y,['space'],Y,,,,,,,F,20,
2,5,35,5,5,1,['k'],['d'],N,N,['space'],N,,,,,,,F,20,
2,6,36,5,5,1,['d'],['k'],N,N,['space'],N,,,,,,,F,20,
2,7,37,6,6,1,['k'],['d'],N,Y,None,N,,,,,,,F,20,
2,8,38,7,7,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,20,
2,9,39,10,10,1,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,20,
