.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
0,0,0,4,4,1,['k'],['k'],Y,,,,,,,,,,F,21,
0,1,1,6,6,1,['d'],['d'],Y,,,,,,,,,,F,21,
0,2,2,8,8,1,['d'],['k'],N,Y,None,N,,,,,,,F,21,
0,3,3,8,8,1,['k'],['k'],Y,N,None,Y,,,,,,,F,21,
0,4,4,8,8,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,21,
0,5,5,4,4,1,['k'],['d'],N,N,None,Y,,,,,,,F,21,
0,6,6,0,0,1,['d'],['d'],Y,N,None,Y,,,,,,,F,21,
0,7,7,6,6,1,['k'],['k'],Y,N,['space'],N,,,,,,,F,21,
0,8,8,6,6,1,['k'],['k'],Y,N,['space'],N,,,,,,,F,21,
0,9,9,8,8,1,['d'],['k'],N,N,None,Y,,,,,,,F,21,
0,10,10,8,8,1,['d'],['k'],N,Y,['space'],Y,,,,,,,F,21,
1,0,11,6,6,1,['k'],['d'],N,Y,None,N,,,,,,,F,21,
1,1,12,4,4,1,['d'],['k'],N,Y,None,N,,,,,,,F,21,
1,2,13,2,2,1,['d'],['d'],Y,N,None,Y,,,,,,,F,21,
1,3,14,9,9,1,['k'],['d'],N,N,None,Y,,,,,,,F,21,
1,4,15,5,5,1,['d'],['d'],Y,N,None,Y,,,,,,,F,21,
1,5,16,0,0,1,['k'],['d'],N,N,None,Y,,,,,,,F,21,
1,6,17,0,0,1,['k'],['d'],N,N,None,Y,,,,,,,F,21,
1,7,18,0,0,1,['k'],['d'],N,Y,['space'],Y,,,,,,,F,21,
1,8,19,2,2,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,21,
1,9,20,8,8,1,['d'],['k'],N,N,None,Y,,,,,,,F,21,
1,10,21,2,2,1,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,21,
2,0,22,8,8,1,['k'],['k'],Y,Y,None,N,,,,,,,F,21,
2,1,23,10,10,1,['k'],['d'],N,N,None,Y,,,,,,,F,21,
2,2,24,4,4,1,['d'],['k'],N,Y,['space'],Y,,,,,,,F,21,
2,3,25,3,3,1,['k'],['k'],Y,N,None,Y,,,,,,,F,21,
2,4,26,3,3,1,['k'],['k'],Y,N,['space'],N,,,,,,,F,21,
